City,osm_type,osm_id,@lon,@lat,place,name,name:en,name:zh,wikipedia,"wikidata
",osm:logs,osm:wikidata,osm:wikipedia,osm:name,osm:name:en,osm:geometry,osm:name:zh,
Bali,node,989926062,115.6603408,-8.395064,suburb,Gn Seraya,,,,,No wikidata/wikipedia,,,Gn Seraya,,"{u'type': u'Point', u'coordinates': [115.6603408, -8.395064]}",,
Bali,node,1308693732,115.207083,-8.6842056,suburb,Dauh Puri,,,,,No wikidata/wikipedia,,,Dauh Puri,,"{u'type': u'Point', u'coordinates': [115.207083, -8.6842056]}",,
Bali,node,2539183434,115.2187621,-8.4564827,suburb,Samuan,,,,,No wikidata/wikipedia,,,Samuan,,"{u'type': u'Point', u'coordinates': [115.2187621, -8.4564827]}",,
Bali,node,3436394524,115.4612126,-8.2024139,neighbourhood,PAUD WIDHIA SANTI MANDIRI,,,,,No wikidata/wikipedia,,,PAUD WIDHIA SANTI MANDIRI,,"{u'type': u'Point', u'coordinates': [115.4612126, -8.2024139]}",,
Bali,node,3436406157,115.4579142,-8.191164,neighbourhood,KELOMPOK GALAR KUNING,,,,,No wikidata/wikipedia,,,KELOMPOK GALAR KUNING,,"{u'type': u'Point', u'coordinates': [115.4579142, -8.191164]}",,
Bali,node,3436430572,115.4475812,-8.2233295,neighbourhood,KELOMPOK ANTAP,,,,,No wikidata/wikipedia,,,KELOMPOK ANTAP,,"{u'type': u'Point', u'coordinates': [115.4475812, -8.2233295]}",,
Bali,node,3436430573,115.4652048,-8.2023786,neighbourhood,KELOMPOK ASAH,,,,,No wikidata/wikipedia,,,KELOMPOK ASAH,,"{u'type': u'Point', u'coordinates': [115.4652048, -8.2023786]}",,
Bali,node,3436430574,115.4552098,-8.2141049,neighbourhood,KELOMPOK BAIS ENJUNG,,,,,No wikidata/wikipedia,,,KELOMPOK BAIS ENJUNG,,"{u'type': u'Point', u'coordinates': [115.4552098, -8.2141049]}",,
Bali,node,3436430575,115.4526329,-8.2218774,neighbourhood,KELOMPOK BANGUN SAKTI,,,,,No wikidata/wikipedia,,,KELOMPOK BANGUN SAKTI,,"{u'type': u'Point', u'coordinates': [115.4526329, -8.2218774]}",,
Bali,node,3436430576,115.4517925,-8.2184393,neighbourhood,KELOMPOK BARU,,,,,No wikidata/wikipedia,,,KELOMPOK BARU,,"{u'type': u'Point', u'coordinates': [115.4517925, -8.2184393]}",,
Bali,node,3436430577,115.4633315,-8.2019271,neighbourhood,KELOMPOK BATU BULEH 1,,,,,No wikidata/wikipedia,,,KELOMPOK BATU BULEH 1,,"{u'type': u'Point', u'coordinates': [115.4633315, -8.2019271]}",,
Bali,node,3436430578,115.4599328,-8.2025199,neighbourhood,KELOMPOK BATU BULEH 2,,,,,No wikidata/wikipedia,,,KELOMPOK BATU BULEH 2,,"{u'type': u'Point', u'coordinates': [115.4599328, -8.2025199]}",,
